i,start,bytes
5,7560,20
5,7959,52
5,8033,2
5,8424,44
5,8640,79
5,9888,178
5,10206,23
5,11333,162
5,11664,9
5,11682,9
5,13364,5
5,26124,1
5,26327,7
5,26470,9
5,26538,45
5,26607,7
5,26652,3
5,27613,2
5,28199,76
5,28281,26
5,28313,66
5,28385,21
5,31518,3
5,32784,733
5,33523,765
5,34296,208
5,34510,346
5,34863,22
5,34897,375
5,35278,249
5,35534,49
5,35589,3
5,35599,129
5,35735,9
5,35751,44
5,35802,526
5,36334,10
5,36350,151
5,36508,308
5,36832,29
5,36869,1
5,36880,576
5,37522,2
5,37530,21
5,37560,24
5,37606,1
5,37614,255
5,37877,35
5,37920,16
5,37948,145
5,38099,13
5,38131,204
5,38341,16
5,38368,239
5,38656,15
5,38677,2
5,38685,2
5,38694,1
5,38702,1
5,38710,1
5,38718,1
5,38726,1
5,38734,488
5,39223,13
5,39236,28
5,39271,9
5,39287,9
5,39303,9
5,39319,15
5,39341,45
5,39392,78
5,39488,208
5,39709,1
5,39717,360
5,40083,85
5,40176,32
5,40216,8
5,40232,8
5,40248,8
5,40264,8
5,40280,8
5,40296,17
5,40320,8
5,40335,1
5,40344,8
5,40367,1
5,40376,4
5,40392,23
5,40428,4
5,40440,8
5,40463,1
5,40472,16
5,40495,15
5,40520,8
5,40536,8
5,40552,24
5,40584,174
5,40766,15
5,40789,13
5,40810,4
5,40814,11
5,40831,6
5,40837,11
5,40860,12
5,40881,18
5,40960,1
6,1503,20
6,1893,5
6,1963,5
6,1982,5
6,2045,5
6,2515,6
6,2530,15
6,2635,6
6,2649,4
6,2858,34
6,2900,12
6,3012,7
6,3060,4
6,3142,2
6,3184,4
6,3213,7
6,3226,2
6,3240,8
6,3256,14
6,3276,26
6,3308,87
6,3401,2
6,3409,2
6,3424,3
6,3441,5
6,3461,5
6,3475,3
6,3513,90
6,4218,1
6,4557,15
6,7552,28
6,7593,12
6,7616,6
6,7637,1
6,7648,4
6,7663,33
6,7706,13
6,7732,23
6,7764,92
6,7868,230
6,8107,90
6,8209,13
6,8232,19
6,8266,1
6,8274,58
6,8342,26
6,8375,93
6,8475,24
6,8505,6
6,8517,1
6,8562,4
6,8589,85
6,8683,2
6,8698,19
6,8748,32
6,8786,60
6,8871,83
6,8987,68
6,9100,97
6,9227,11
6,9244,82
6,9339,197
6,9549,209
6,9764,101
6,9873,112
6,9991,313
6,10321,38
6,10365,32
6,10405,149
6,10560,143
6,10713,53
6,10775,34
6,10821,61
6,10889,73
6,10971,150
6,11129,19
6,11156,172
6,11339,317
6,11663,190
6,11863,72
6,11943,22
6,11991,13
6,13364,5
6,24582,1
6,26330,4
6,26506,12
6,26538,7
6,26552,32
6,26606,7
6,27615,2
6,28207,24
6,28237,54
6,28297,82
6,28385,21
6,29402,4
6,32784,880
6,33680,32
6,33728,32
6,33792,32
6,33841,159
6,34016,627
6,34649,294
6,34949,579
6,35534,54
6,35599,901
6,36507,1
6,36514,302
6,36832,31
6,36870,1
6,36877,578
6,37522,28
6,37568,15
6,37606,1
6,37614,290
6,37920,16
6,37969,29
6,38016,14
6,38049,12
6,38080,14
6,38100,11
6,38132,143
6,38289,7
6,38309,2
6,38320,7
6,38339,119
6,38465,53
6,38528,79
6,38656,15
6,38677,2
6,38685,2
6,38694,1
6,38702,1
6,38710,1
6,38718,1
6,38726,1
6,38734,65
6,38816,361
6,39185,147
6,39339,31
6,39376,9
6,39393,9
6,39409,10
6,39440,30
6,39480,607
6,40094,1
6,40102,10
6,40118,2
6,40127,1
6,40135,1
6,40142,7
6,40160,5
6,40176,128
6,40312,8
6,40328,88
6,40428,52
6,40488,168
6,40693,62
6,40777,8
6,40797,34
6,40859,1
6,40880,53
7,1512,11
7,1893,5
7,1963,5
7,1982,5
7,2045,5
7,3184,4
7,3441,5
7,3461,5
7,3475,3
7,3513,90
7,4218,1
7,4557,15
7,7552,28
7,7593,12
7,7616,6
7,7637,1
7,7648,4
7,7663,33
7,7706,13
7,7732,23
7,7764,92
7,7868,230
7,8107,90
7,8209,13
7,8232,19
7,8266,1
7,8274,58
7,8342,26
7,8375,93
7,8475,24
7,8505,6
7,8517,1
7,8562,4
7,8589,85
7,8683,2
7,8698,19
7,8748,32
7,8786,60
7,8871,83
7,8987,68
7,9100,97
7,9227,11
7,9244,82
7,9339,197
7,9549,209
7,9764,101
7,9873,112
7,9991,313
7,10321,38
7,10365,32
7,10405,149
7,10560,143
7,10713,53
7,10775,34
7,10821,61
7,10889,73
7,10971,150
7,11129,19
7,11156,172
7,11339,317
7,11663,190
7,11863,72
7,11943,22
7,11991,13
7,13364,5
7,24582,1
7,29402,4
7,39264,64
7,40216,8
7,40232,8
7,40280,10
7,40303,1
7,40312,8
7,40328,8
7,40376,4
7,40392,8
7,40428,4
7,40440,8
7,40472,8
7,40488,8
7,40693,62
7,40777,8
7,40797,10
7,40859,1
7,40880,53
8,122,2
8,670,8
8,690,1
8,817,1
8,848,41
8,1048,1
8,1080,1
8,1146,1
8,1512,11
8,1893,5
8,1963,5
8,1982,5
8,2050,11
8,2113,1
8,2137,1
8,3431,16
8,3471,25
8,3496,15
8,3513,90
8,4171,1
8,4180,1
8,4218,1
8,4415,1
8,4557,14
8,5068,2
8,5254,1
8,6935,1
8,7176,11
8,7367,25
8,7392,16
8,7413,39
8,7469,8
8,7484,1156
8,8648,3362
8,15872,1
8,16507,8
8,16518,22
8,16652,1
8,16681,1
8,16919,1
8,17181,1
8,17207,1
8,18238,1
8,18918,2
8,20779,1
8,22342,7
8,27175,1
8,34065,15
8,34673,60
8,36721,95
8,36833,30
8,36869,2
8,36880,576
8,37524,2
8,37532,19
8,37568,16
8,39424,15
8,39685,2
8,39694,2
8,40192,16
8,40883,81
9,1503,20
9,1893,5
9,1963,5
9,1982,5
9,2003,20
9,2045,5
9,2058,3
9,2515,6
9,2530,15
9,2635,6
9,2649,4
9,2858,34
9,2900,12
9,3012,7
9,3060,4
9,3142,2
9,3184,4
9,3213,7
9,3226,2
9,3240,8
9,3256,46
9,3308,87
9,3401,2
9,3409,9
9,3424,63
9,3494,1
9,3515,88
9,4218,1
9,4557,15
9,7552,53
9,7616,36
9,7663,33
9,7706,13
9,7731,367
9,8107,90
9,8206,16
9,8232,19
9,8266,1
9,8274,58
9,8342,26
9,8375,93
9,8475,24
9,8505,6
9,8517,1
9,8562,4
9,8589,85
9,8681,36
9,8748,32
9,8786,60
9,8871,88
9,8987,68
9,9100,97
9,9227,11
9,9244,18
9,9268,58
9,9339,197
9,9544,214
9,9764,101
9,9873,112
9,9991,313
9,10321,38
9,10365,32
9,10405,149
9,10560,143
9,10713,96
9,10821,61
9,10889,73
9,10971,150
9,11129,19
9,11156,172
9,11339,317
9,11663,190
9,11863,106
9,11991,13
9,13364,5
9,24582,1
9,25058,1
9,25073,1
9,25082,2
9,26330,4
9,26497,21
9,26538,7
9,26552,32
9,26606,7
9,27615,2
9,28207,24
9,28237,54
9,28297,82
9,28385,21
9,29402,4
9,32784,880
9,33680,32
9,33728,32
9,33792,32
9,33841,159
9,34016,627
9,34649,294
9,34949,1867
9,36832,31
9,36870,1
9,36877,578
9,37522,28
9,37568,15
9,37606,1
9,37614,290
9,37920,16
9,37969,29
9,38016,14
9,38049,12
9,38080,195
9,38289,7
9,38309,2
9,38320,7
9,38339,119
9,38465,53
9,38528,79
9,38656,15
9,38677,2
9,38685,2
9,38694,1
9,38702,1
9,38710,1
9,38718,1
9,38726,1
9,38734,66
9,38816,361
9,39185,147
9,39339,31
9,39376,9
9,39393,9
9,39409,61
9,39480,607
9,40094,1
9,40102,202
9,40312,8
9,40328,88
9,40428,52
9,40488,168
9,40693,62
9,40777,46
9,40835,8
9,40843,14
9,40857,4
9,40880,53
10,4,3
10,16,2780
10,2796,25
10,2821,16
10,2837,14834
10,17671,15
10,17686,3398
10,21084,83
10,21167,3350
10,24517,17
10,24534,4797
10,29331,28
10,29359,3168
10,32778,2644
10,35422,50
10,35472,427
10,35899,52
10,35951,4950
10,40901,17
10,40918,1052
10,41970,142
10,42112,3044
10,45156,428
10,45584,3509
10,49093,17
10,49110,11654
10,60764,18
10,60782,18
10,60800,41
10,60841,3071
10,63912,15
10,63927,256
10,64183,14
10,64197,5386
10,69583,17
10,69600,624
10,70224,16
10,70240,8
10,70248,16
10,70264,24
10,70288,1702
10,71990,14
10,72004,1725
10,73729,15
11,6,1
11,16,238
11,254,54
11,308,74
11,382,23
11,405,38
11,443,59
11,502,3117
11,3619,21
11,3640,29581
11,33221,17
11,33238,3610
11,36856,479
11,37344,39
11,37392,161
11,37560,408
11,37968,16
11,37985,6
11,37993,15
11,38008,15
11,38032,776
11,38816,500
11,39331,403
11,39736,12
11,39748,452
11,40208,120
11,40336,625
11,40967,315
11,41282,14
11,41296,13
11,41309,14
11,41323,26
11,41349,20
11,41369,104
11,41473,15
12,1512,11
12,1893,13
12,1942,5
12,2045,5
12,3256,6
12,3276,5
12,3296,3
12,3305,1
12,3312,1
12,3321,54
12,3384,11
12,3441,6
12,3461,32
12,3598,5
12,4557,1
12,7568,12
12,7616,38
12,7687,8
12,7706,5
12,7734,2
12,7748,7
12,7774,17
12,7799,22
12,7877,9
12,7911,2
12,7923,11
12,7958,20
12,7987,24
12,8017,3
12,8027,4
12,8043,9
12,8092,2
12,8107,13
12,8137,55
12,8204,36
12,8256,4
12,8266,8
12,8291,19
12,8318,31
12,8357,2
12,8378,24
12,8422,6
12,8435,33
12,8474,10
12,8493,14
12,8585,12
12,8612,2
12,8639,80
12,8737,41
12,8794,54
12,8863,102
12,8986,88
12,9087,122
12,9227,10
12,9249,11
12,9267,3
12,9280,6
12,9293,31
12,9343,195
12,9544,158
12,9722,10
12,9744,89
12,9839,145
12,9991,76
12,10076,122
12,10209,94
12,10318,57
12,10382,53
12,10441,157
12,10604,13
12,10631,82
12,10722,30
12,10767,467
12,11240,39
12,11286,29
12,11334,157
12,11497,145
12,11658,95
12,11767,9
12,11787,10
12,11863,30
12,11899,83
12,29402,4
12,32784,768
12,33568,224
12,33825,207
12,34048,78
12,34132,227
12,34379,37
12,34529,110
12,34649,151
12,34816,97
12,34920,1
12,34944,2
12,34953,103
12,35184,160
12,35346,14
12,35360,64
12,35427,13
12,35440,288
12,35824,240
12,36066,14
12,36080,32
12,36128,96
12,36240,16
12,36256,8
12,36272,64
12,36337,15
12,36352,16
12,36400,101
12,36508,116
12,36688,128
12,36832,39
12,36877,18
12,36901,42
12,36950,41
12,36998,25
12,37029,10
12,37049,7
12,37065,7
12,37081,7
12,37097,7
12,37113,7
12,37129,7
12,37145,7
12,37161,7
12,37177,7
12,37193,7
12,37209,7
12,37225,7
12,37241,7
12,37257,7
12,37273,7
12,37289,7
12,37305,7
12,37321,7
12,37337,7
12,37353,7
12,37369,7
12,37385,7
12,37401,7
12,37417,7
12,37433,7
12,37449,7
12,37532,2
12,37546,5
12,37576,8
12,37616,10
12,37728,127
12,37920,16
12,37985,14
12,38016,15
12,38192,90
12,38288,10
12,38304,8
12,38318,10
12,38334,2
12,38752,45
12,38816,16
12,38848,64
12,38928,32
12,39360,1
12,39368,1
12,39395,2
12,39411,2
12,39440,32
12,39504,168
12,39678,2
12,39760,288
12,40182,10
12,40344,8
12,40367,1
12,40376,4
12,40392,8
12,40608,162
12,40770,14
12,40784,13
12,40797,14
12,40814,23
12,40837,20
12,40860,22
12,40888,11
12,40910,5
12,40926,5
13,4,51
13,849,40
13,1504,17
13,1893,10
13,1943,1
13,1963,5
13,1982,5
13,1995,1
13,2003,21
13,2045,5
13,2531,1
13,2540,5
13,2633,4
13,2858,34
13,2932,2
13,2954,3
13,2976,3
13,2986,2
13,3044,12
13,3064,8
13,3072,11
13,3088,19
13,3141,3
13,3168,4
13,3184,4
13,3256,27
13,3294,5
13,3308,15
13,3330,97
13,3438,9
13,3456,53
13,3516,87
13,4218,1
13,5038,2
13,6142,24
13,7748,36
13,7911,67
13,7985,26
13,8018,47
13,8424,44
13,8641,75
13,8738,123
13,8873,92
13,8980,94
13,9235,201
13,9444,90
13,9545,74
13,9630,128
13,9775,207
13,9991,212
13,10210,94
13,10321,134
13,10489,2
13,10504,28
13,10546,40
13,10605,88
13,10771,239
13,11033,116
13,11156,80
13,11288,348
13,11659,38
13,11775,20
13,11863,120
13,24582,1
13,25986,19
13,26330,4
13,26459,23
13,26508,10
13,26604,4
13,26687,13
13,26736,1
13,27615,2
13,28199,4
13,28211,59
13,28278,49
13,28339,68
13,32784,155
13,32939,32607
13,65546,6
13,65552,16
13,65568,446
13,66014,34
13,66048,208
13,66256,16
13,66272,47
13,66319,17
13,66336,143
13,66479,17
13,66496,32
13,66528,16
13,66544,32
13,66576,16
13,66592,47
13,66639,17
13,66656,12
13,66668,20
13,66688,14
13,66702,18
13,66720,48
13,66768,32
13,66800,224
13,67024,16
13,67040,29
13,67069,20
13,67089,991
13,68080,39
13,68119,1465
13,69584,16
13,69600,624
13,70224,16
13,70240,8
13,70248,16
13,70264,24
13,70288,3277
13,73565,14
13,73579,3
13,73582,20
13,73602,26
13,73628,22
13,73650,79
13,73729,15
14,0,16
14,19,1
14,636,4
14,643,2
14,653,3
14,659,2
14,677,1
14,687,7
14,815,1
14,817,1
14,821,20
14,842,48
14,967,1
14,1077,1
14,1080,2
14,1096,4
14,1143,1
14,1146,1
14,1241,1
14,1245,1
14,1267,1
14,1503,2
14,1506,9
14,1516,3
14,1520,3
14,1543,1
14,1891,1
14,1893,5
14,1901,5
14,1908,4
14,1914,2
14,1919,9
14,1934,1
14,1942,5
14,1960,1
14,1963,5
14,1971,7
14,1979,1
14,1982,5
14,1990,9
14,2000,64
14,2163,31
14,2515,6
14,2524,4
14,2529,4
14,2534,3
14,2538,3
14,2542,3
14,2633,8
14,2649,23
14,2848,72
14,2928,32
14,2970,2
14,2973,1
14,2975,25
14,3004,5
14,3010,1
14,3012,148
14,3165,1
14,3167,418
14,3586,17
14,4162,5
14,4171,1
14,4180,1
14,4218,1
14,4329,1
